200,0,0,172553,45402,12535,9874,1877,1770,1959,5377
200,0,0,223366,69627,6043,11936,2125,2863,2185,3178
200,0,0,265845,38629,10360,7711,5053,2323,3772,2522
200,0,0,146712,44285,13893,4802,5287,1411,5563,2682
200,0,0,259301,33934,11530,6117,1824,2712,2964,1853
200,0,0,278608,75445,44442,68555,5537,8720,17865,16592
200,0,0,271456,38382,5142,1268,2177,1219,3946,2343
200,0,0,273593,40144,10334,4237,2005,1924,1767,1624
200,0,0,226229,86944,14550,7738,3730,1314,3934,2718
200,0,0,272381,111253,45621,29761,15528,11774,11008,5868
200,0,0,204708,65435,18140,14534,4977,1409,4079,2289
200,0,0,292837,102906,63589,31079,5718,6097,18426,6363
200,0,0,240062,145717,75650,39507,10871,10458,19009,9882
200,0,0,197064,60969,24717,10469,2797,1327,4172,3864
200,0,0,313753,90359,56395,25962,11144,12284,14706,10866
200,0,0,150046,33257,13908,4879,2270,1970,4288,3174
200,0,0,212000,93108,49109,31370,17226,10372,19532,10195
200,0,0,315308,53505,8453,3185,3295,1862,3226,2742
200,0,0,201236,69848,12249,5514,1536,2101,4512,3393
200,0,0,235712,33589,13748,2914,5205,3362,3239,3414
200,0,0,283245,101518,49905,35033,14978,4984,9506,4296
200,0,0,328205,57188,8337,4047,13632,3027,3087,5606
200,0,0,270446,33898,10939,7465,1719,2930,2711,3769
200,0,0,307946,96824,51639,26260,10842,8169,22593,12822
200,0,0,197176,59631,28634,8279,1501,2233,3534,2083
200,0,0,292289,56665,13170,7038,2601,1170,4048,3200
200,0,0,250103,42484,12579,3757,3032,2905,5643,2055
200,0,0,239275,129057,44015,25037,7161,14326,22099,8447
200,0,0,264271,60451,14612,8136,1918,2201,3577,3261
200,0,0,275433,198076,48233,29421,11943,10705,8984,9054
200,0,0,362280,155434,62639,37233,9093,8204,25836,11400
200,0,0,143864,56118,8771,7640,765,1605,5764,2240
200,0,0,359180,54938,17283,6426,1302,3522,4024,3627
200,0,0,198729,67233,31582,18501,7117,5283,10822,13272
200,0,0,342878,132763,88427,17558,6503,8925,15461,22279
200,0,0,198807,52324,12016,4945,1702,2943,3134,1634
200,0,0,305376,47492,16550,4245,1521,3131,3392,1727
200,0,0,277596,109080,56544,21682,5605,11571,14660,10013
200,0,0,332064,109211,73990,31503,6235,4821,13729,8140
